ID,Name,Joining Date,Age,Birth Date,Gender,Education,Average Working Hours,Skill Level,Defect Type,Defect Rate
53333,Eric Carr,2023-12-14,25,1999-04-24,Female,Diploma,30.952374412689615,Intermediate,SPI Errors,0.47445252442332286
53333,Eric Carr,2023-12-14,25,1999-04-24,Female,Diploma,31.083474047438415,Intermediate,SPI Errors,0.7530387521953218
53333,Eric Carr,2023-12-14,25,1999-04-24,Female,Diploma,37.24662266320679,Intermediate,High Low,0.17360993134763125
53333,Eric Carr,2023-12-14,25,1999-04-24,Female,Diploma,31.716453813254752,Intermediate,High Low,0.8653325998335525
53333,Eric Carr,2023-12-14,25,1999-04-24,Female,Diploma,32.490000712716075,Intermediate,High Low,0.846176138553646
84039,Arthur Joseph,2023-11-24,22,2002-04-23,Female,A/L,28.163495745435593,Beginner,High Low,0.988607443022906
84039,Arthur Joseph,2023-11-24,22,2002-04-23,Female,A/L,27.999150997722637,Beginner,SPI Errors,0.29229568347417134
84039,Arthur Joseph,2023-11-24,22,2002-04-23,Female,A/L,26.244381263504554,Beginner,High Low,0.06243249174059129
84039,Arthur Joseph,2023-11-24,22,2002-04-23,Female,A/L,25.003195134390666,Beginner,SPI Errors,0.3182157957000904
84039,Arthur Joseph,2023-11-24,22,2002-04-23,Female,A/L,22.240759856289493,Beginner,SPI Errors,0.666898815023686
37718,Paige Brown,2022-06-11,20,2004-04-22,Female,A/L,48.234747266158024,Expert,Runoff,0.10758721481411948
37718,Paige Brown,2022-06-11,20,2004-04-22,Female,A/L,44.88637662738395,Expert,Runoff,0.6969245204129224
37718,Paige Brown,2022-06-11,20,2004-04-22,Female,A/L,44.707254402941,Expert,Runoff,0.167437455040225
37718,Paige Brown,2022-06-11,20,2004-04-22,Female,A/L,43.82384817645135,Expert,High Low,0.12502249760429152
37718,Paige Brown,2022-06-11,20,2004-04-22,Female,A/L,41.32798017461428,Expert,High Low,0.05955754524611223
59266,Brian Hartman,2020-10-02,24,2000-04-23,Female,O/L,25.788065433984794,Beginner,High Low,0.9336178717060275
59266,Brian Hartman,2020-10-02,24,2000-04-23,Female,O/L,29.399461629635923,Beginner,Runoff,0.7273968158707609
59266,Brian Hartman,2020-10-02,24,2000-04-23,Female,O/L,29.912995286108735,Beginner,High Low,0.14300337548865316
59266,Brian Hartman,2020-10-02,24,2000-04-23,Female,O/L,21.29821002061878,Beginner,High Low,0.8531415667296294
59266,Brian Hartman,2020-10-02,24,2000-04-23,Female,O/L,20.487556408924277,Beginner,High Low,0.25492228475647094
26504,Allen Reyes,2021-06-11,27,1997-04-24,Female,A/L,29.561516480391894,Beginner,Runoff,0.46844652856764757
26504,Allen Reyes,2021-06-11,27,1997-04-24,Female,A/L,23.162648823665393,Beginner,Runoff,0.8437645291390311
26504,Allen Reyes,2021-06-11,27,1997-04-24,Female,A/L,24.031583807192334,Beginner,Runoff,0.8357788157425596
26504,Allen Reyes,2021-06-11,27,1997-04-24,Female,A/L,23.937363623732583,Beginner,Openseam,0.7069772994531961
26504,Allen Reyes,2021-06-11,27,1997-04-24,Female,A/L,29.953115836490507,Beginner,Runoff,0.11882486177358276
14588,Melissa Harris,2020-09-18,26,1998-04-24,Female,Diploma,40.85169834583254,Expert,SPI Errors,0.518727930516138
